Date,Open,High,Low,Close,Adj Close,Volume
2024-08-10,227.09,227.85,223.25,227.82,227.82,59085900
2024-08-09,221.65,223.40,220.04,222.28,222.28,60387900
2024-08-08,218.30,223.63,218.29,223.50,223.50,61447600
2024-08-07,218.72,222.03,218.72,219.89,219.89,44813700
2024-08-06,216.82,219.26,216.82,218.92,218.92,44153000
2024-08-05,218.47,218.47,213.43,215.85,215.85,55412600
2024-08-02,213.24,218.00,212.95,217.90,217.90,58613900
2024-08-01,212.80,214.30,211.56,213.04,213.04,31623900
2024-07-31,211.72,213.29,211.47,213.00,213.00,20686800
2024-07-30,208.69,212.10,208.69,211.95,211.95,29874100
2024-07-29,207.49,210.83,207.49,209.98,209.98,22168700
2024-07-26,206.97,207.25,205.00,206.75,206.75,23666900
2024-07-25,206.66,207.44,206.14,206.60,206.60,16913700
2024-07-24,207.46,207.46,204.90,205.00,205.00,23607300
2024-07-23,209.11,209.11,204.45,206.22,206.22,30124000
2024-07-22,209.45,211.86,209.45,211.46,211.46,31547700
2024-07-19,208.17,209.55,207.24,209.54,209.54,26922400
2024-07-18,207.29,207.96,205.85,207.30,207.30,25951100
2024-07-17,207.67,208.38,206.94,207.88,207.88,24102500
2024-07-16,208.09,208.19,207.40,207.59,207.59,23033200
2024-07-15,206.13,209.15,205.23,207.62,207.62,33947600
2024-07-12,212.03,212.15,209.77,209.80,209.80,24242400
2024-07-11,210.00,211.97,208.86,211.67,211.67,28507200
2024-07-10,204.00,206.57,203.54,206.48,206.48,25276400
2024-07-09,204.33,204.33,202.00,202.45,202.45,33605200
2024-07-08,205.35,205.35,202.38,204.33,204.33,25976000
2024-07-05,203.48,204.25,202.00,203.33,203.33,23894300
2024-07-03,198.50,202.90,198.13,202.85,202.85,24736500
2024-07-02,198.68,199.04,196.90,197.18,197.18,28304100
2024-07-01,200.58,200.97,198.34,198.52,198.52,23575800
2024-06-28,198.43,200.61,198.02,200.28,200.28,18137100
2024-06-27,200.00,200.50,197.92,198.19,198.19,25973500
2024-06-26,200.99,202.57,199.00,199.15,199.15,39796500
